"year","gr","squirrel_id","sex","breed_status","age_class","log_cache_size_new","log_total_cones"
2013,"KL",12236,"M",1,"adult",10.083754301537,4.67303968645855
2014,"KL",12236,"M",1,"adult",9.37132905925639,6.90201340778595
2015,"KL",12236,"M",1,"adult",0,0.00550994838793582
2016,"KL",12236,"M",1,"adult",0,1.70178639803856
2012,"AG",12353,"M",1,"adult",8.06559220100031,4.20721253589958
2012,"KL",12363,"M",1,"adult",8.27267901796929,4.20721253589958
2013,"KL",12363,"M",1,"adult",9.97823900635089,4.67303968645855
2012,"KL",12364,"M",1,"adult",9.43518598772507,4.20721253589958
2013,"KL",12364,"M",1,"adult",9.60360787198806,4.67303968645855
2015,"KL",12364,"M",1,"adult",0,0.00550994838793582
2012,"SU",12419,"M",1,"adult",8.33596486040155,4.20721253589958
2013,"SU",12419,"M",1,"adult",10.6050103514285,4.67303968645855
2012,"KL",12445,"M",1,"adult",8.77609532552498,4.20721253589958
2013,"KL",12445,"M",1,"adult",10.4232452816668,4.67303968645855
2016,"KL",12445,"M",1,"adult",0,1.70178639803856
2012,"AG",12473,"M",1,"adult",0,4.20721253589958
2012,"SU",12479,"M",1,"adult",3.95222171366587,4.20721253589958
2013,"SU",12479,"M",1,"adult",8.90939689159929,4.67303968645855
2014,"SU",12479,"M",1,"adult",10.2668929260897,6.90201340778595
2012,"KL",12495,"M",1,"adult",5.21841536107241,4.20721253589958
2012,"SU",12522,"M",1,"adult",5.47672673893505,4.20721253589958
2013,"SU",12522,"M",1,"adult",8.79884998423593,4.67303968645855
2015,"SU",12522,"M",1,"adult",0,0.00550994838793582
2016,"SU",12522,"M",1,"adult",4.48823847373387,1.70178639803856
2012,"SU",12523,"M",1,"adult",4.76141876894609,4.20721253589958
2012,"KL",12542,"M",1,"yearling",8.33141465233484,4.20721253589958
2013,"KL",12542,"M",1,"adult",10.7270675499817,4.67303968645855
2012,"SU",12550,"M",1,"adult",5.63569162593541,4.20721253589958
2013,"SU",12550,"M",1,"adult",8.95291137531485,4.67303968645855
2012,"AG",12555,"M",1,"adult",0,4.20721253589958
2012,"KL",12564,"M",1,"adult",7.65368360405875,4.20721253589958
2013,"KL",12564,"M",1,"adult",10.6989218647875,4.67303968645855
2012,"KL",12565,"M",1,"adult",7.38225173410045,4.20721253589958
2013,"KL",12565,"M",1,"adult",10.0717322885091,4.67303968645855
2014,"KL",12565,"M",1,"adult",10.2127270090474,6.90201340778595
2016,"KL",12565,"M",1,"adult",0,1.70178639803856
2012,"KL",12576,"M",1,"adult",7.63175662579568,4.20721253589958
2013,"KL",12576,"M",1,"adult",10.6543107098452,4.67303968645855
2010,"KL",12611,"M",0,"juvenile",10.5527195392187,7.38746470921704
2012,"KL",12611,"M",1,"adult",8.21520519306642,4.20721253589958
2013,"KL",12613,"M",1,"adult",10.5757863299858,4.67303968645855
2014,"KL",12613,"M",1,"adult",10.4779264136808,6.90201340778595
2016,"KL",12613,"M",1,"adult",0,1.70178639803856
2017,"KL",12613,"M",1,"adult",4.74486096731727,4.12577983837698
2018,"KL",12613,"M",1,"adult",0,1.19410634818236
2012,"AG",12646,"M",1,"adult",7.55151631950022,4.20721253589958
2012,"KL",12653,"M",1,"adult",8.29057116749454,4.20721253589958
2014,"KL",12653,"M",1,"adult",10.4426364116191,6.90201340778595
2016,"KL",12653,"M",1,"adult",0,1.70178639803856
2017,"KL",12653,"M",1,"adult",7.53755200351899,4.12577983837698
2018,"KL",12653,"M",1,"adult",0,1.19410634818236
