"year","gr","squirrel_id","sex","breed_status","age_class"
1988,"FL",475,"F",1,"yearling"
1988,"FL",490,"F",1,"adult"
1988,"FL",497,"F",1,"adult"
1988,"FL",509,"F",1,"adult"
1988,"FL",619,"F",1,"adult"
1988,"FL",627,"F",1,"adult"
1988,"FL",642,"F",1,"adult"
1988,"FL",654,"F",1,"adult"
1988,"FL",661,"F",1,"adult"
1988,"FL",664,"F",1,"adult"
1988,"FL",669,"F",1,"adult"
1988,"KL",239,"F",0,"yearling"
1988,"KL",240,"F",0,"adult"
1988,"KL",241,"F",1,"adult"
1988,"KL",259,"F",0,"yearling"
1988,"KL",325,"F",1,"adult"
1988,"KL",356,"F",1,"adult"
1988,"KL",369,"F",1,"adult"
1988,"KL",370,"F",1,"adult"
1988,"KL",371,"F",0,"adult"
1988,"KL",567,"F",0,"adult"
1988,"KL",584,"F",0,"yearling"
1988,"KL",695,"F",1,"adult"
1988,"KL",697,"F",0,"adult"
1988,"KL",712,"F",0,"adult"
1988,"KL",810,"F",0,"adult"
1988,"KL",848,"F",0,"adult"
1988,"KL",874,"F",0,"yearling"
1988,"KL",875,"F",0,"adult"
1988,"KL",880,"F",1,"adult"
1988,"KL",881,"F",0,"yearling"
1988,"KL",1218,"F",0,"yearling"
1988,"KL",1319,"F",0,"adult"
1988,"KL",1321,"F",1,"adult"
1988,"KL",1397,"F",1,"adult"
1988,"KL",1890,"F",0,"adult"
1988,"LL",337,"F",1,"adult"
1988,"LL",377,"F",0,"adult"
1988,"LL",378,"F",0,"adult"
1988,"LL",400,"F",0,"yearling"
1988,"LL",424,"F",1,"yearling"
1988,"LL",425,"F",1,"adult"
1988,"LL",543,"F",1,"adult"
1988,"LL",595,"F",1,"yearling"
1988,"LL",601,"F",1,"adult"
1988,"LL",611,"F",1,"yearling"
1988,"LL",657,"F",0,"yearling"
1988,"LL",662,"F",1,"adult"
1988,"LL",729,"F",1,"adult"
1988,"LL",826,"F",0,"adult"
1988,"LL",1026,"F",0,"adult"
1988,"LL",1032,"F",0,"yearling"
1988,"LL",1032,"F",1,"yearling"
1988,"LL",1042,"F",1,"adult"
1988,"LL",1069,"F",0,"yearling"
1988,"LL",1144,"F",1,"adult"
1988,"LL",1180,"F",0,"adult"
1988,"LL",1186,"F",0,"adult"
1988,"LL",1570,"F",0,"yearling"
1988,"LL",1932,"F",0,"adult"
1988,"LL",2460,"F",0,"yearling"
1988,"SU",279,"F",1,"yearling"
1988,"SU",287,"F",0,"yearling"
1988,"SU",331,"F",0,"adult"
1988,"SU",399,"F",1,"adult"
1988,"SU",613,"F",1,"adult"
1988,"SU",687,"F",1,"adult"
1988,"SU",688,"F",0,"adult"
1988,"SU",692,"F",1,"yearling"
1988,"SU",709,"F",1,"adult"
1988,"SU",715,"F",0,"adult"
1988,"SU",849,"F",0,"adult"
1988,"SU",852,"F",0,"adult"
1988,"SU",872,"F",1,"adult"
1988,"SU",879,"F",0,"adult"
1988,"SU",899,"F",1,"adult"
1988,"SU",1195,"F",0,"adult"
1988,"SU",1266,"F",0,"adult"
1988,"SU",1271,"F",1,"yearling"
1988,"SU",1278,"F",1,"yearling"
1988,"SU",1295,"F",0,"adult"
1988,"SU",1299,"F",0,"yearling"
1988,"SU",1355,"F",0,"adult"
1988,"SU",1516,"F",1,"adult"
1988,"SU",1517,"F",0,"yearling"
1988,"SU",1689,"F",0,"adult"
1988,"SU",1693,"F",1,"adult"
1988,"SU",1935,"F",0,"adult"
1988,"SU",2295,"F",0,"yearling"
1988,"SU",4850,"F",0,"adult"
1989,"FL",310,"F",1,"adult"
1989,"FL",415,"F",0,"adult"
1989,"FL",430,"F",1,"adult"
1989,"FL",448,"F",1,"adult"
1989,"FL",475,"F",1,"adult"
1989,"FL",490,"F",1,"adult"
1989,"FL",497,"F",1,"adult"
1989,"FL",509,"F",1,"adult"
1989,"FL",524,"F",1,"adult"
1989,"FL",536,"F",1,"adult"
1989,"FL",537,"F",1,"adult"
1989,"FL",538,"F",1,"yearling"
1989,"FL",542,"F",1,"adult"
1989,"FL",548,"F",0,"yearling"
1989,"FL",571,"F",0,"yearling"
1989,"FL",597,"F",1,"adult"
1989,"FL",602,"F",1,"adult"
1989,"FL",614,"F",1,"adult"
1989,"FL",615,"F",1,"adult"
1989,"FL",619,"F",1,"adult"
1989,"FL",626,"F",0,"adult"
1989,"FL",627,"F",1,"adult"
1989,"FL",634,"F",1,"adult"
1989,"FL",642,"F",1,"adult"
1989,"FL",649,"F",1,"adult"
1989,"FL",651,"F",0,"yearling"
1989,"FL",654,"F",1,"adult"
1989,"FL",661,"F",1,"adult"
1989,"FL",664,"F",1,"adult"
1989,"FL",669,"F",1,"adult"
1989,"FL",675,"F",1,"adult"
1989,"FL",676,"F",1,"adult"
1989,"FL",678,"F",1,"yearling"
1989,"FL",679,"F",1,"adult"
1989,"FL",1403,"F",0,"adult"
1989,"KL",460,"F",1,"yearling"
1989,"KL",567,"F",1,"adult"
1989,"KL",583,"F",0,"yearling"
1989,"KL",584,"F",1,"adult"
1989,"KL",695,"F",1,"adult"
1989,"KL",697,"F",0,"adult"
1989,"KL",699,"F",1,"yearling"
1989,"KL",701,"F",1,"adult"
1989,"KL",712,"F",1,"adult"
1989,"KL",810,"F",1,"adult"
1989,"KL",848,"F",1,"adult"
1989,"KL",874,"F",1,"adult"
1989,"KL",875,"F",0,"adult"
1989,"KL",880,"F",1,"adult"
1989,"KL",881,"F",1,"adult"
1989,"KL",981,"F",1,"adult"
1989,"KL",1181,"F",0,"yearling"
1989,"KL",1218,"F",1,"adult"
1989,"KL",1219,"F",0,"yearling"
1989,"KL",1319,"F",1,"adult"
1989,"KL",1321,"F",1,"adult"
1989,"KL",1397,"F",1,"adult"
1989,"KL",1574,"F",0,"yearling"
1989,"KL",1890,"F",1,"adult"
1989,"KL",1944,"F",0,"yearling"
1989,"LL",400,"F",1,"adult"
1989,"LL",424,"F",1,"adult"
1989,"LL",425,"F",1,"adult"
1989,"LL",543,"F",1,"adult"
1989,"LL",553,"F",0,"yearling"
1989,"LL",595,"F",1,"adult"
1989,"LL",601,"F",1,"adult"
1989,"LL",611,"F",1,"adult"
1989,"LL",657,"F",1,"adult"
1989,"LL",658,"F",0,"yearling"
1989,"LL",662,"F",1,"adult"
1989,"LL",719,"F",0,"yearling"
1989,"LL",724,"F",0,"yearling"
1989,"LL",729,"F",1,"adult"
1989,"LL",742,"F",0,"adult"
1989,"LL",754,"F",1,"adult"
1989,"LL",801,"F",0,"yearling"
1989,"LL",826,"F",1,"adult"
1989,"LL",1026,"F",1,"adult"
1989,"LL",1032,"F",1,"adult"
1989,"LL",1042,"F",1,"adult"
1989,"LL",1069,"F",0,"adult"
1989,"LL",1144,"F",1,"adult"
1989,"LL",1180,"F",1,"adult"
1989,"LL",1186,"F",1,"adult"
1989,"LL",1192,"F",0,"yearling"
1989,"LL",1222,"F",0,"yearling"
1989,"LL",1265,"F",0,"yearling"
1989,"LL",1268,"F",1,"yearling"
1989,"LL",1274,"F",0,"yearling"
1989,"LL",1348,"F",0,"yearling"
1989,"LL",1570,"F",0,"adult"
1989,"LL",1571,"F",0,"yearling"
1989,"LL",1576,"F",0,"yearling"
1989,"LL",1589,"F",0,"yearling"
1989,"LL",1651,"F",0,"yearling"
1989,"LL",1731,"F",0,"yearling"
1989,"LL",1735,"F",0,"yearling"
1989,"LL",1932,"F",1,"adult"
1989,"LL",2419,"F",0,"yearling"
1989,"LL",2456,"F",0,"yearling"
1989,"LL",2460,"F",0,"adult"
1989,"SU",494,"F",1,"yearling"
1989,"SU",546,"F",0,"adult"
1989,"SU",613,"F",0,"adult"
1989,"SU",687,"F",1,"adult"
1989,"SU",688,"F",1,"adult"
1989,"SU",692,"F",1,"adult"
1989,"SU",709,"F",1,"adult"
